timestamp,session_id,ip,action,filename,request_bytes,response_bytes,status_code,success
2026-05-13T11:15:36,b939e649-a24c-4852-abf5-f9efa783df5e,192.168.1.242,list_files,,0,610,200,True
2026-05-13T11:15:43,7dd00d6c-fe5f-4855-86b9-e159499d9204,127.0.0.1,list_files,,0,610,200,True
2026-05-13T11:19:20,feature-sim-4a6dfd3f-c9a2-4ee9-80a6-6db6418b4b6c,127.0.0.1,feature_level_attack_simulation,synthetic_deviation_features,0,0,200,True
2026-05-13T14:02:50,7dd00d6c-fe5f-4855-86b9-e159499d9204,192.168.1.242,list_files,,0,610,200,True
2026-05-13T14:03:07,7dd00d6c-fe5f-4855-86b9-e159499d9204,192.168.1.242,create_folder,max,3,0,200,True
2026-05-13T14:03:07,7dd00d6c-fe5f-4855-86b9-e159499d9204,192.168.1.242,list_files,,0,701,200,True
2026-05-13T14:03:09,7dd00d6c-fe5f-4855-86b9-e159499d9204,192.168.1.242,list_files,,0,701,200,True
2026-05-13T14:03:19,7dd00d6c-fe5f-4855-86b9-e159499d9204,192.168.1.242,upload,max/users.json,410,0,200,True
2026-05-13T14:03:19,7dd00d6c-fe5f-4855-86b9-e159499d9204,192.168.1.242,list_files,,0,799,200,True
2026-05-13T14:03:54,e3b1e842-2add-4def-9ca5-510e47cbf90a,127.0.0.1,list_files,,0,799,200,True
2026-05-13T14:04:28,e3b1e842-2add-4def-9ca5-510e47cbf90a,127.0.0.1,list_files,,0,799,200,True
2026-05-13T14:05:03,f831175a-8f94-44fe-8581-832a309a6fbe,127.0.0.1,list_files,,0,799,200,True
2026-05-15T08:58:03,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,list_files,,0,799,200,True
2026-05-15T08:58:16,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,delete_folder,max,3,410,200,True
2026-05-15T08:58:16,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,list_files,,0,610,200,True
2026-05-15T08:58:18,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,delete_folder,admins,6,35273,200,True
2026-05-15T08:58:18,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,list_files,,0,412,200,True
2026-05-15T08:58:43,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,upload,token_bucket.py,3093,0,200,True
2026-05-15T08:58:43,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,list_files,,0,512,200,True
2026-05-15T11:33:53,bddbd51f-fefa-4b98-96ba-eaff094ac09c,127.0.0.1,list_files,,0,512,200,True
2026-05-15T11:34:38,bddbd51f-fefa-4b98-96ba-eaff094ac09c,192.168.1.10,list_files,,0,512,200,True
